,EM Antônia Lucia Navarro Braga,EM Antônio Nominando Diniz,EMAI Analice Caldas,EMAI Arnaldo de Barros Moreira,EMAI Chico Xavier,EMAI Dom José Maria Pires,EMAI Dr. Severino Patrício,EMAI Duque de Caxias,EMAI Frei Afonso,EMAI Gov. Leonel Brizola,EMAI João XVIII,EMAI Prof. Anísio Teixeira,EMAI Prof. Oscar de Castro,EMAI Ubirajara Targino Botto,EMEF Antenor Navarro,EMEF Aruanda,EMEF Cantalice Leite Magalhães,EMEF Com. Cícero Leite,EMEF Darcy Ribeiro,EMEF Duarte da Silveira,EMEF Fenelon Câmara,EMEF Francisca Moura,EMEF Frutuoso Barbosa,EMEF General Rodrigo Otávio,EMEF Luiz Vaz de Camões,EMEF Major José de Barros Moreira,EMEF Nazinha Barbosa,EMEF Pe. Pedro Serrão,EMEF Pres. João Pessoa,EMEF Prof. Afonso Pereira da Silva,EMEF Prof. Aníbal Moura,EMEF Prof. Francisco Pereira da Nóbrega,EMEF Prof. Lynaldo Cavalcanti de Albuquerque,EMEF Santa Ângela,EMEF Santos Dumont,EMEF Tharcilla Barbosa da Franca,EMEF Violeta Formiga,EMEF Virginius da Gama e Melo,EMEF Zulmira de Novais,EMEF Zumbi dos Palmares,EMEF em Tempo Integral Dep. Fernando Paulo Carrilho Milanez,EMEF em Tempo Integral Min. José Américo de Almeida,EMEF Índio Piragibe,EMEIEF Anita Trigueiro do Valle,EMEIEF Antônio Santos Coelho Neto,EMEIEF Apolônio Sales de Miranda,EMEIEF Castro Alves,EMEIEF David Trindade,EMEIEF Dom Helder Câmara,EMEIEF João Monteiro da França,EMEIEF Leônidas Santiago,EMEIEF Moema Tinoco Cunha Lima,EMEIEF Olívio Ribeiro Campos,EMEIEF Prof. Durmeval Trigueiro Mendes,EMEIEF Prof. Luiz Mendes Pontes,EMEIEF Profa. Anayde Beiriz,EMEIEF Prof. Hugo Moura,EMEIEF Quilombola Profa. Antônia do Socorro Silva Machado,EMEIEF Séráfico da Nóbrega,EMEIEF em Tempo Integral Almirante Barroso,EMEIEF em Tempo Integral Damásio Barbosa da França,Instituto Dom Adauto
EM Antônia Lucia Navarro Braga,0,9668,11486,7486,22470,9737,11215,4539,15174,16757,9737,4193,9185,9032,1823,13493,7512,4859,2573,3338,4225,14853,12686,18040,9929,20268,20652,6694,6652,12140,9634,6023,6541,6554,13399,1230,15591,9204,7501,9810,3233,7193,10306,19370,16306,8262,6752,10237,7012,6883,11228,1822,14044,7288,9688,8147,14155,8203,19344,7516,13875,11956
EM Antônio Nominando Diniz,11611,0,12480,8480,23464,10732,12210,5533,16168,17751,10732,8210,10179,10027,11730,14487,2565,14974,8928,5997,10960,15847,13680,19034,16270,21263,21646,10845,4348,17924,10629,11231,3493,11762,14393,8564,16585,14491,8496,15098,13348,12481,15593,20364,19736,9256,7746,15524,15761,3482,12222,8440,15038,12496,10682,2178,15149,18318,20338,8510,14869,12950
EMAI Analice Caldas,14153,12394,0,4677,12347,5617,7836,8075,3610,4253,5617,7833,3161,4666,14272,5485,10238,12838,10294,8539,10116,4218,3870,3884,9157,4380,7870,3949,8238,10935,2757,5045,9267,3987,3069,11798,4956,7327,5003,7744,13015,7992,8604,9247,12746,4127,5211,8684,11736,8902,2808,11079,6742,3039,3761,10872,3520,14420,6769,5283,2213,1880
EMAI Arnaldo de Barros Moreira,10030,8271,4684,0,18965,1312,3530,3952,7488,13252,1312,3710,2383,2230,10148,9987,6114,10352,5292,4416,6461,8051,5001,14535,11771,8461,17146,3048,4278,13425,2369,3697,5143,3348,5713,6542,8789,9992,700,10598,11766,7981,11094,15865,15236,1460,1087,11025,11262,4779,4426,6457,10538,3899,2886,6749,7353,13361,15838,980,6190,5154
EMAI Chico Xavier,20036,25163,13255,20586,0,21365,22843,20844,8807,9075,21365,17612,21178,17580,20387,13113,23007,20084,17541,18782,17362,5704,11660,8149,16786,5499,4335,16674,21007,18563,12084,16697,22036,16352,11214,19045,6664,14955,19494,15372,20261,15916,16232,9152,15290,20255,18744,16312,19364,21672,17032,18325,14370,16208,16766,23642,6831,22456,5026,18791,10759,9783
EMAI Dom José Maria Pires,9719,8066,5947,1312,20817,0,2305,5190,6263,15104,99,5562,3646,3493,9837,11840,5910,12204,7144,5654,8313,9459,3775,16387,13623,9869,18998,4311,3802,15277,3309,4960,6382,4611,4488,8394,10197,11844,1962,12450,11124,9833,12946,17717,17089,2723,2326,12877,13114,4668,5688,8309,12390,5161,4149,6545,8283,15213,17690,2242,4965,5416
EMAI Dr. Severino Patrício,10405,8752,8161,3529,21503,2304,0,6945,7740,15790,2304,6248,5863,5710,10523,12525,6596,12890,7830,7409,8998,10935,5252,17072,14308,11345,19684,6528,4487,15963,5526,9269,8136,9800,5965,9079,11673,12530,4179,13136,11810,10519,13632,18403,17774,4940,4543,13563,13800,5354,7906,8995,13076,7378,6366,7230,9759,15899,18376,4459,6441,6892
EMAI Duque de Caxias,4521,5641,7458,3458,18442,5710,7188,0,11146,12729,5710,3188,5158,5005,4639,9465,3484,7884,2535,464,5938,10825,8658,14012,11248,16241,16624,5823,2625,12902,5607,6209,2513,6740,9371,3031,11563,9469,3474,10076,6257,7459,10571,15343,14714,4235,2724,10502,10739,2855,7200,2907,10016,7474,5661,4119,10127,11228,15316,3489,9847,7928
EMAI Frei Afonso,14235,12582,3799,7099,9427,5874,6821,10774,0,6054,5874,10078,4814,9280,14353,8176,10426,16720,11660,11239,12828,3196,2853,4540,11849,3605,6848,6298,8317,13626,4410,7394,11966,6337,2407,12909,3933,10018,7749,10436,15640,14349,11295,10604,15438,5780,8113,11376,17630,9184,4897,12825,9434,5816,6111,11060,2019,19729,8084,8029,1952,2576
EMAI Gov. Leonel Brizola,13121,18248,3777,13672,7242,14450,15928,13929,5373,0,14450,10697,6972,10666,13473,6198,16092,13170,10626,11867,10448,4786,6894,1524,9871,3740,4017,9759,14092,11648,6569,9782,15121,9437,6094,12130,5524,8040,12579,8457,13346,9001,9317,5431,11568,13340,11829,9397,12449,14757,6578,11410,7455,6309,7031,16727,4088,18735,3504,11876,5271,4807
